wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, air_temperature_yesterday_high, tendency_amount
11,99.9,1.9,67.5,99,2.1, 2024-01-21 00:00:00, , , , ,0.03
5,99.9,2.5,112.5,99,2.7, 2024-01-21 01:00:00, , , , ,-0.01
10,99.8,2.3,90,99,2.5, 2024-01-21 02:00:00, , , , ,-0.06
0,99.9,3.5, ,99,3.7, 2024-01-21 03:00:00, , , , ,-0.04
5,99.8,2.4,45,99,2.6, 2024-01-21 04:00:00, , , , ,-0.03
5,99.8,3.1,90,99,3.2, 2024-01-21 05:00:00, , , , ,0
8,99.8,2.7,90,99,2.9, 2024-01-21 06:00:00, , , , ,-0.02
8,99.8,3.7,90,99,3.9, 2024-01-21 07:00:00, , , , ,-0.02
10,99.8,3,90,99,3.2, 2024-01-21 08:00:00, , , , ,0
14,99.9,4.1,90,99,4.3, 2024-01-21 09:00:00, , , , ,0.05
13,99.9,4.2,90,99,4.4, 2024-01-21 10:00:00, , , , ,0.1
10,99.9,4.1,90,99,4.3, 2024-01-21 11:00:00, , , , ,0.07
12,99.8,4.4,67.5,98,4.7, 2024-01-21 12:00:00, , , , ,-0.05
12,99.8,5.2,90,94,6.1, 2024-01-21 13:00:00, , , , ,-0.12
10,99.8,4.9,112.5,91,6.2, 2024-01-21 14:00:00, , , , ,-0.15
14,99.8,4.6,90,95,5.3, 2024-01-21 15:00:00,0.6,0, ,4.2,-0.05
10,99.8,4.6,90,96,5.2, 2024-01-21 16:00:00, , , , ,0.02
8,99.8,4.2,90,97,4.7, 2024-01-21 17:00:00, , , , ,0.06
14,99.8,5,90,96,5.6, 2024-01-21 18:00:00, , , , ,0.04
8,99.8,4.7,112.5,97,5.1, 2024-01-21 19:00:00, , , , ,0.01
12,99.8,5.1,90,97,5.5, 2024-01-21 20:00:00, , , , ,-0.02
9,99.8,5.1,90,97,5.5, 2024-01-21 21:00:00, , , , ,-0.05
6,99.8,5.3,90,97,5.7, 2024-01-21 22:00:00, , , , ,-0.03
13,99.8,5.2,90,96,5.8, 2024-01-21 23:00:00, , , , ,-0.01
11,99.8,5.6,67.5,97,6, 2024-01-22 00:00:00, , , , ,-0.02
6,99.7,5.1,90,96,5.6, 2024-01-22 01:00:00, , , , ,-0.05
11,99.7,5.7,90,96,6.2, 2024-01-22 02:00:00, , , , ,-0.07
8,99.7,5.3,90,96,5.8, 2024-01-22 03:00:00, , , , ,-0.07
7,99.7,5.2,67.5,97,5.6, 2024-01-22 04:00:00, , , , ,-0.09
16,99.6,6,90,98,6.3, 2024-01-22 05:00:00, , , , ,-0.1
1,99.7,5.7,135,97,6.1, 2024-01-22 06:00:00, , , , ,-0.03
0,99.7,5.2, ,98,5.6, 2024-01-22 07:00:00, , , , ,0.04
3,99.7,5.4,67.5,98,5.7, 2024-01-22 08:00:00, , , , ,0.1
9,99.8,5.6,67.5,98,5.8, 2024-01-22 09:00:00, , , , ,0.12
11,99.8,6.4,90,98,6.7, 2024-01-22 10:00:00, , , , ,0.13
9,99.9,6.6,90,98,7, 2024-01-22 11:00:00, , , , ,0.14
12,99.9,6.9,112.5,97,7.4, 2024-01-22 12:00:00, , , , ,0.14
5,100,6.9,90,97,7.4, 2024-01-22 13:00:00, , , , ,0.14
8,100,6.7,90,97,7.1, 2024-01-22 14:00:00, , , , ,0.14
12,100.1,6.6,90,97,7, 2024-01-22 15:00:00,1.6,13.4, ,6.7,0.16
12,100.2,6.8,90,97,7.1, 2024-01-22 16:00:00, , , , ,0.2
11,100.2,6.6,90,96,7.2, 2024-01-22 17:00:00, , , , ,0.24
11,100.3,6.5,90,95,7.2, 2024-01-22 18:00:00, , , , ,0.24
11,100.4,6.8,90,95,7.5, 2024-01-22 19:00:00, , , , ,0.22
14,100.4,6.7,90,96,7.3, 2024-01-22 20:00:00, , , , ,0.2
12,100.5,6.7,90,96,7.3, 2024-01-22 21:00:00, , , , ,0.2
8,100.6,6.9,90,96,7.4, 2024-01-22 22:00:00, , , , ,0.19
10,100.6,6.8,90,97,7.2, 2024-01-22 23:00:00, , , , ,0.16
12,100.6,6.9,90,97,7.3, 2024-01-23 00:00:00, , , , ,0.11
8,100.7,6.8,90,97,7.2, 2024-01-23 01:00:00, , , , ,0.1
8,100.7,6.7,90,98,7, 2024-01-23 02:00:00, , , , ,0.1
10,100.7,6.8,90,98,7, 2024-01-23 03:00:00, , , , ,0.11
8,100.8,7.1,90,98,7.4, 2024-01-23 04:00:00, , , , ,0.11
10,100.8,7,90,98,7.3, 2024-01-23 05:00:00, , , , ,0.1
9,100.9,7,90,98,7.3, 2024-01-23 06:00:00, , , , ,0.13
7,100.9,6.9,90,98,7.2, 2024-01-23 07:00:00, , , , ,0.12
8,101,6.7,90,98,7, 2024-01-23 08:00:00, , , , ,0.14
10,101,6.9,90,98,7.2, 2024-01-23 09:00:00, , , , ,0.14
11,101.1,7,90,97,7.4, 2024-01-23 10:00:00, , , , ,0.17
9,101.2,7.4,112.5,96,7.9, 2024-01-23 11:00:00, , , , ,0.2
12,101.2,7.6,112.5,96,8.1, 2024-01-23 12:00:00, , , , ,0.14
8,101.2,8.4,112.5,97,8.9, 2024-01-23 13:00:00, , , , ,0.1
14,101.1,8.6,112.5,95,9.3, 2024-01-23 14:00:00, , , , ,-0.02
12,101.2,8.5,135,96,9.2, 2024-01-23 15:00:00,5.1,14.7, ,7.5,0.05
9,101.3,8.3,135,96,8.9, 2024-01-23 16:00:00, , , , ,0.09
9,101.3,7.8,112.5,96,8.4, 2024-01-23 17:00:00, , , , ,0.13
9,101.2,7.3,112.5,97,7.8, 2024-01-23 18:00:00, , , , ,0.04
9,101.3,7.3,90,97,7.7, 2024-01-23 19:00:00, , , , ,0.01
7,101.2,7.4,90,95,8.1, 2024-01-23 20:00:00, , , , ,-0.02
9,101.2,7.3,90,94,8.2, 2024-01-23 21:00:00, , , , ,-0.01
16,101.2,6.9,90,92,8.1, 2024-01-23 22:00:00, , , , ,-0.09
11,101.2,5.5,90,88,7.2, 2024-01-23 23:00:00, , , , ,-0.07
11,101.1,5.2,90,86,7.4, 2024-01-24 00:00:00, , , , ,-0.15
14,101,4.9,90,83,7.7, 2024-01-24 01:00:00, , , , ,-0.21
13,100.9,5.1,67.5,89,6.7, 2024-01-24 02:00:00, , , , ,-0.25
10,100.9,5.3,90,91,6.7, 2024-01-24 03:00:00, , , , ,-0.21
11,100.8,5.3,90,92,6.6, 2024-01-24 04:00:00, , , , ,-0.18
22,100.7,5.3,90,91,6.7, 2024-01-24 05:00:00, , , , ,-0.23
18,100.6,5.5,90,91,6.9, 2024-01-24 06:00:00, , ,27, ,-0.26
15,100.6,5.5,90,89,7.2, 2024-01-24 07:00:00, , ,28, ,-0.22
20,100.5,5.4,67.5,88,7.3, 2024-01-24 08:00:00, , , , ,-0.17
21,100.5,5.3,67.5,89,7, 2024-01-24 09:00:00, , ,29, ,-0.11
19,100.5,5.4,67.5,89,7.1, 2024-01-24 10:00:00, , , , ,-0.05
19,100.5,5.6,90,88,7.5, 2024-01-24 11:00:00, , , , ,0
13,100.5,5.6,90,89,7.3, 2024-01-24 12:00:00, , , , ,0.04
18,100.6,6.3,90,94,7.1, 2024-01-24 13:00:00, , , , ,0.07
18,100.6,6.5,90,94,7.4, 2024-01-24 14:00:00, , , , ,0.06
21,100.6,6.4,90,91,7.7, 2024-01-24 15:00:00,6.7,12.7, ,9.9,0.06
16,100.6,6.2,90,92,7.4, 2024-01-24 16:00:00, , , , ,0.05
8,100.7,6,90,94,6.9, 2024-01-24 17:00:00, , , , ,0.13
11,100.7,6.2,90,93,7.3, 2024-01-24 18:00:00, , , , ,0.11
11,100.8,6.4,90,91,7.7, 2024-01-24 19:00:00, , , , ,0.12
15,100.8,6.1,90,91,7.3, 2024-01-24 20:00:00, , , , ,0.1
12,100.9,5.6,90,92,6.8, 2024-01-24 21:00:00, , , , ,0.14
17,100.9,5.6,90,91,7, 2024-01-24 22:00:00, , , , ,0.17
16,101,5.6,90,89,7.2, 2024-01-24 23:00:00, , , , ,0.16
14,101,5.8,90,88,7.6, 2024-01-25 00:00:00, , , , ,0.18
10,101.1,5.8,90,88,7.7, 2024-01-25 01:00:00, , , , ,0.13
15,101.1,5.8,90,89,7.4, 2024-01-25 02:00:00, , , , ,0.13
14,101.1,5.6,90,86,7.8, 2024-01-25 03:00:00, , , , ,0.11
16,101.2,5.8,90,91,7.2, 2024-01-25 04:00:00, , , , ,0.13
17,101.2,5.9,90,89,7.6, 2024-01-25 05:00:00, , , , ,0.12
15,101.3,5.9,90,89,7.6, 2024-01-25 06:00:00, , , , ,0.14
12,101.4,6.1,90,92,7.2, 2024-01-25 07:00:00, , , , ,0.19
16,101.4,6.1,90,94,7.1, 2024-01-25 08:00:00, , , , ,0.19
17,101.5,6,90,92,7.3, 2024-01-25 09:00:00, , , , ,0.21
15,101.6,6.5,90,94,7.4, 2024-01-25 10:00:00, , , , ,0.23
19,101.7,6.6,90,95,7.4, 2024-01-25 11:00:00, , , , ,0.25
15,101.7,6.9,90,96,7.5, 2024-01-25 12:00:00, , , , ,0.19
15,101.7,6.9,90,93,7.9, 2024-01-25 13:00:00, , , , ,0.1
18,101.7,6.8,90,93,7.9, 2024-01-25 14:00:00, , , , ,0.05
15,101.7,7,90,92,8.2, 2024-01-25 15:00:00,6.3,9.4,33,8.1,0.04
14,101.8,6.9,90,94,7.9, 2024-01-25 16:00:00, , , , ,0.07
13,101.8,6.7,90,93,7.7, 2024-01-25 17:00:00, , , , ,0.12
16,101.9,6.7,90,94,7.6, 2024-01-25 18:00:00, , , , ,0.12
15,101.9,6.7,90,94,7.6, 2024-01-25 19:00:00, , , , ,0.11
13,101.9,6.7,90,95,7.4, 2024-01-25 20:00:00, , , , ,0.09
12,102,6.6,90,95,7.2, 2024-01-25 21:00:00, , , , ,0.09
14,102,6.6,90,95,7.4, 2024-01-25 22:00:00, , , , ,0.14
15,102,6.9,90,94,7.8, 2024-01-25 23:00:00, , , , ,0.12
15,102,6.7,67.5,94,7.7, 2024-01-26 00:00:00, , , , ,0.09
13,102,6.7,90,93,7.7, 2024-01-26 01:00:00, , , , ,0.01
14,102,6.9,90,93,8, 2024-01-26 02:00:00, , , , ,-0.02
14,102,6.7,90,93,7.8, 2024-01-26 03:00:00, , , , ,-0.03
13,102,6.6,90,91,7.9, 2024-01-26 04:00:00, , , , ,-0.04
10,102,6.5,90,88,8.3, 2024-01-26 05:00:00, , , , ,0.01
9,102,6.5,90,89,8.2, 2024-01-26 06:00:00, , , , ,0.01
8,102,6.4,90,87,8.3, 2024-01-26 07:00:00, , , , ,-0.04
8,101.9,6.6,67.5,90,8.1, 2024-01-26 08:00:00, , , , ,-0.07
10,101.9,6.5,90,92,7.8, 2024-01-26 09:00:00, , , , ,-0.11
7,101.9,6.9,135,88,8.7, 2024-01-26 10:00:00, , , , ,-0.06
7,101.9,6.9,135,88,8.7, 2024-01-26 11:00:00, , , , ,-0.06
6,101.8,8.4,90,77,12.2, 2024-01-26 13:00:00, , , , ,-0.14
12,101.7,7.7,90,77,11.5, 2024-01-26 14:00:00, , , , ,-0.25
8,101.6,7.8,90,78,11.5, 2024-01-26 15:00:00,6.8,3.9, ,8.4,-0.18
10,101.5,7.4,90,80,10.8, 2024-01-26 16:00:00, , , , ,-0.24
7,101.5,6.6,112.5,79,10.1, 2024-01-26 17:00:00, , , , ,-0.16
8,101.5,7.3,90,88,9.2, 2024-01-26 18:00:00, , , , ,-0.14
11,101.5,8,67.5,95,8.7, 2024-01-26 19:00:00, , , , ,-0.01
5,101.6,7.9,67.5,96,8.5, 2024-01-26 20:00:00, , , , ,0.1
8,101.6,8.1,90,97,8.6, 2024-01-26 21:00:00, , , , ,0.12
9,101.7,8,90,97,8.4, 2024-01-26 22:00:00, , , , ,0.16
12,101.7,7.7,90,97,8.2, 2024-01-26 23:00:00, , , , ,0.12
18,101.7,7.6,90,96,8.1, 2024-01-27 00:00:00, , ,28, ,0.1
12,101.7,7.6,90,97,8, 2024-01-27 01:00:00, , , , ,0.02
5,101.7,8.1,90,98,8.5, 2024-01-27 02:00:00, , , , ,0.01
