Date,observations (m),Observations minus predictions (m)
2023-08-13 17:39 PDT,4.326,
2023-08-13 17:38 PDT,4.329,
2023-08-13 17:37 PDT,4.343,
2023-08-13 17:36 PDT,4.341,
2023-08-13 17:35 PDT,4.324,
2023-08-13 17:34 PDT,4.308,
2023-08-13 17:33 PDT,4.299,
2023-08-13 17:32 PDT,4.312,
2023-08-13 17:31 PDT,4.32,
2023-08-13 17:30 PDT,4.303,
2023-08-13 17:29 PDT,4.301,
2023-08-13 17:28 PDT,4.287,
2023-08-13 17:27 PDT,4.296,
2023-08-13 17:26 PDT,4.272,
2023-08-13 17:25 PDT,4.253,
2023-08-13 17:24 PDT,4.253,
2023-08-13 17:23 PDT,4.272,
2023-08-13 17:22 PDT,4.263,
2023-08-13 17:21 PDT,4.254,
2023-08-13 17:20 PDT,4.242,
2023-08-13 17:19 PDT,4.233,
2023-08-13 17:18 PDT,4.242,
2023-08-13 17:17 PDT,4.232,
2023-08-13 17:16 PDT,4.221,
2023-08-13 17:15 PDT,4.22,
2023-08-13 17:14 PDT,4.213,
2023-08-13 17:13 PDT,4.211,
2023-08-13 17:12 PDT,4.209,
2023-08-13 17:11 PDT,4.202,
2023-08-13 17:10 PDT,4.19,
2023-08-13 17:09 PDT,4.183,
2023-08-13 17:08 PDT,4.183,
2023-08-13 17:07 PDT,4.166,
2023-08-13 17:06 PDT,4.166,
2023-08-13 17:05 PDT,4.159,
2023-08-13 17:04 PDT,4.164,
2023-08-13 17:03 PDT,4.16,
2023-08-13 17:02 PDT,4.145,
2023-08-13 17:01 PDT,4.134,
2023-08-13 17:00 PDT,4.131,
2023-08-13 16:59 PDT,4.131,
2023-08-13 16:58 PDT,4.108,
2023-08-13 16:57 PDT,4.095,
2023-08-13 16:56 PDT,4.088,
2023-08-13 16:55 PDT,4.086,
2023-08-13 16:54 PDT,4.072,
2023-08-13 16:53 PDT,4.07,
2023-08-13 16:52 PDT,4.06,
2023-08-13 16:51 PDT,4.065,
2023-08-13 16:50 PDT,4.058,
2023-08-13 16:49 PDT,4.039,
2023-08-13 16:48 PDT,4.023,
2023-08-13 16:47 PDT,4.013,
2023-08-13 16:46 PDT,4.027,
2023-08-13 16:45 PDT,4.018,
2023-08-13 16:44 PDT,4.004,
