latin_name,common_names
Alaria marginata,winged kelp
Desmarestia herbacea,acid kelp
Fucus distichus,rockweed
Nereocystis leukatena,bull kelp
Saccharina latisisma,sugar kelp
Ulva sp.,sea lettuce
Pyropia sp.,nori
